,Event_id,Event_Name,Event_date,Mag,event_lat,event_long,Depth_km,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,Standard deviation,City,dist_fromKolkata_km,event_id_use
0,,"13 km W of Kar?mpur, India",2020-08-26T02:24:03.662Z,4.0,23.965,88.4834,10.0,3.5,6,67,23.3674,88.5165,0,0.285,Krishnanagar,156.4712617,"2020-08-26 | 13 km W of Kar?mpur, India"
1,,"13 km W of Kar?mpur, India",2020-08-26T02:24:03.662Z,4.0,23.965,88.4834,10.0,2.9,3,58,23.4586,88.4196,0,0.311,NavadwÄ«p,156.4712617,"2020-08-26 | 13 km W of Kar?mpur, India"
2,,"13 km W of Kar?mpur, India",2020-08-26T02:24:03.662Z,4.0,23.965,88.4834,10.0,4.6,3,31,24.0923,88.2298,0,0.311,Baharampur,156.4712617,"2020-08-26 | 13 km W of Kar?mpur, India"
3,,"13 km W of Kar?mpur, India",2020-08-26T02:24:03.662Z,4.0,23.965,88.4834,10.0,3.2,2,85,23.644,87.7353,0,0.32,Bolpur,156.4712617,"2020-08-26 | 13 km W of Kar?mpur, India"
4,,"13 km W of Kar?mpur, India",2020-08-26T02:24:03.662Z,4.0,23.965,88.4834,10.0,2.0,1,130,23.4646,87.3427,0,0.33,Durgapur,156.4712617,"2020-08-26 | 13 km W of Kar?mpur, India"
5,,"13 km W of Kar?mpur, India",2020-08-26T02:24:03.662Z,4.0,23.965,88.4834,10.0,2.0,1,48,23.9132,88.0316,0,0.33,Kandi,156.4712617,"2020-08-26 | 13 km W of Kar?mpur, India"
6,,"13 km W of Kar?mpur, India",2020-08-26T02:24:03.662Z,4.0,23.965,88.4834,10.0,3.1,1,29,23.9117,88.228,0,0.33,Beldanga,156.4712617,"2020-08-26 | 13 km W of Kar?mpur, India"
7,,"13 km W of Kar?mpur, India",2020-08-26T02:24:03.662Z,4.0,23.965,88.4834,10.0,2.0,1,69,23.3692,88.3209,0,0.33,NavadwÄ«p,156.4712617,"2020-08-26 | 13 km W of Kar?mpur, India"
8,,"13 km W of Kar?mpur, India",2020-08-26T02:24:03.662Z,4.0,23.965,88.4834,10.0,3.4,1,38,23.6392,88.4216,0,0.33,Muragachha,156.4712617,"2020-08-26 | 13 km W of Kar?mpur, India"
9,,"13 km W of Kar?mpur, India",2020-08-26T02:24:03.662Z,4.0,23.965,88.4834,10.0,2.0,1,78,24.6341,88.2351,0,0.33,Nawabganj,156.4712617,"2020-08-26 | 13 km W of Kar?mpur, India"
10,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,5.6,321,31,23.8044,90.3991,0,0.09,Dacca,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
11,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,5.4,264,34,23.7142,90.4009,0,0.09,Dacca,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
12,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,5.3,79,30,23.8946,90.3973,0,0.099,Å¢ungÄ«,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
13,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,3.2,24,262,22.5555,88.4102,0,0.182,Bidhannagar,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
14,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,4.9,16,36,23.8929,90.2992,0,0.218,Å¢ungÄ«,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
15,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,5.8,15,31,23.7158,90.499,0,0.224,Dacca,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
16,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,5.4,15,45,23.5369,90.6002,0,0.224,Narayanganj,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
17,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,5.7,13,37,23.6255,90.5007,0,0.236,Narayanganj,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
18,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,5.4,12,36,23.8027,90.3011,0,0.242,Dacca,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
19,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,6.0,9,31,23.8993,90.6917,0,0.262,Narsingdi,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
20,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,5.6,8,27,23.806,90.4972,0,0.269,Gajipur,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
21,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,4.7,8,39,23.7125,90.303,0,0.269,Dacca,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
22,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,4.9,7,84,23.4545,91.1889,0,0.277,Comilla,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
23,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,3.2,7,204,24.3595,88.6267,0,0.277,Rajshahi,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
24,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,3.9,6,154,22.8117,89.5816,0,0.285,Khulna,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
25,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,2.9,5,209,22.3764,91.7859,0,0.293,Chattagam,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
26,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,2.4,5,257,22.6458,88.4111,0,0.293,Baranagar,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
27,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,5.7,4,33,23.9849,90.3955,0,0.302,Å¢ungÄ«,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
28,,"14 km ESE of Tungi, Bangladesh",2025-11-21T04:38:28.942Z,5.4,23.8578,90.5404,27.0,5.6,4,33,23.9849,90.3955,0,0.302,Å¢ungÄ«,266.9435608,"2025-11-21 | 14 km ESE of Tungi, Bangladesh"
